model,accuracy,precision,recall,f1,auc
DecisionTree,0.8997555012224939,0.8977272727272727,0.9021207177814029,0.8999186330349878,0.9148232380932138
KNN,0.9152404237978811,0.9234608985024958,0.9053833605220228,0.914332784184514,0.9566902774309081
SVM,0.8834555827220864,0.9519230769230769,0.8075040783034257,0.8737864077669902,0.950651200110526
NaiveBayes,0.6813365933170334,0.9625,0.3768352365415987,0.5416178194607268,0.9161915288191252
LogisticRegression,0.863080684596577,0.9052823315118397,0.8107667210440457,0.8554216867469879,0.9342396820251766
RandomForest,0.947840260798696,0.9552238805970149,0.9396411092985318,0.9473684210526315,0.988119782561334
AdaCost,0.8932355338223309,0.9397810218978102,0.8401305057096248,0.8871662360034454,0.9565972867990498
