model,accuracy,precision,recall,f1,auc
DecisionTree,0.8950892857142857,0.9041095890410958,0.8839285714285714,0.8939051918735892,0.8795340401785715
KNN,0.9441964285714286,0.9760765550239234,0.9107142857142857,0.9422632794457275,0.9735730229591837
SVM,0.9508928571428571,0.963302752293578,0.9375,0.9502262443438914,0.9788345025510204
NaiveBayes,0.7366071428571429,0.9732142857142857,0.48660714285714285,0.6488095238095238,0.9482521524234694
LogisticRegression,0.9352678571428571,0.9493087557603687,0.9196428571428571,0.9342403628117913,0.9739516900510203
