model,accuracy,precision,recall,f1,auc,experiment
DecisionTree,0.9540740740740741,0.9763157894736842,0.9440203562340967,0.9598965071151359,0.9552180896179597,D1_raw
KNN,0.9481481481481482,0.9735449735449735,0.9363867684478372,0.9546044098573282,0.9750690271235991,D1_raw
SVM,0.9481481481481482,0.961340206185567,0.9491094147582697,0.9551856594110115,0.9821161099381012,D1_raw
NaiveBayes,0.7762962962962963,0.9801587301587301,0.628498727735369,0.765891472868217,0.9460911699420714,D1_raw
LogisticRegression,0.9407407407407408,0.9608355091383812,0.9363867684478372,0.9484536082474226,0.9796527890567196,D1_raw
DecisionTree,0.9348148148148148,0.958005249343832,0.9287531806615776,0.9431524547803618,0.9327278797394113,D1_pca
KNN,0.9481481481481482,0.976063829787234,0.9338422391857506,0.9544863459037711,0.9830635410463249,D1_pca
SVM,0.9407407407407408,0.9584415584415584,0.9389312977099237,0.9485861182519281,0.973742623572086,D1_pca
NaiveBayes,0.6622222222222223,0.9661016949152542,0.4351145038167939,0.6,0.9217467020374281,D1_pca
LogisticRegression,0.9185185185185185,0.9424083769633508,0.916030534351145,0.9290322580645162,0.9759984119249996,D1_pca
DecisionTree,0.953125,0.9592760180995475,0.9464285714285714,0.952808988764045,0.9384566326530611,D2_raw
KNN,0.9397321428571429,0.966824644549763,0.9107142857142857,0.9379310344827586,0.9773397640306122,D2_raw
SVM,0.9464285714285714,0.9504504504504504,0.9419642857142857,0.9461883408071748,0.9847935267857143,D2_raw
NaiveBayes,0.7991071428571429,0.9652777777777778,0.6205357142857143,0.7554347826086957,0.9519989636479592,D2_raw
LogisticRegression,0.9441964285714286,0.9502262443438914,0.9375,0.9438202247191011,0.9842354910714286,D2_raw
DecisionTree,0.8950892857142857,0.9041095890410958,0.8839285714285714,0.8939051918735892,0.8795340401785715,D2_pca
KNN,0.9441964285714286,0.9760765550239234,0.9107142857142857,0.9422632794457275,0.9735730229591837,D2_pca
SVM,0.9508928571428571,0.963302752293578,0.9375,0.9502262443438914,0.9788345025510204,D2_pca
NaiveBayes,0.7366071428571429,0.9732142857142857,0.48660714285714285,0.6488095238095238,0.9482521524234694,D2_pca
LogisticRegression,0.9352678571428571,0.9493087557603687,0.9196428571428571,0.9342403628117913,0.9739516900510203,D2_pca
