model,accuracy,precision,recall,f1,auc
DecisionTree,0.9540740740740741,0.9763157894736842,0.9440203562340967,0.9598965071151359,0.9552180896179597
KNN,0.9481481481481482,0.9735449735449735,0.9363867684478372,0.9546044098573282,0.9750690271235991
SVM,0.9481481481481482,0.961340206185567,0.9491094147582697,0.9551856594110115,0.9821161099381012
NaiveBayes,0.7762962962962963,0.9801587301587301,0.628498727735369,0.765891472868217,0.9460911699420714
LogisticRegression,0.9407407407407408,0.9608355091383812,0.9363867684478372,0.9484536082474226,0.9796527890567196
