model,accuracy,precision,recall,f1,auc
DecisionTree,0.9405052974735126,0.9299363057324841,0.9526916802610114,0.9411764705882353,0.9405152212379975
KNN,0.9421352893235534,0.9516666666666667,0.9314845024469821,0.9414674361088211,0.9824380549548066
SVM,0.9307253463732681,0.9567474048442907,0.9021207177814029,0.9286314021830394,0.9750997656636076
NaiveBayes,0.6992665036674817,0.988,0.4029363784665579,0.5724217844727694,0.9223289105217571
LogisticRegression,0.9193154034229829,0.9385665529010239,0.8972267536704731,0.9174311926605505,0.9686063626847192
RandomForest,0.9657701711491442,0.9688013136288999,0.9624796084828712,0.9656301145662848,0.9951379183914215
AdaCost,0.928280358598207,0.9581151832460733,0.8955954323001631,0.9258010118043845,0.977000759866306
