model,accuracy,precision,recall,f1,auc
DecisionTree,0.9348148148148148,0.958005249343832,0.9287531806615776,0.9431524547803618,0.9327278797394113
KNN,0.9481481481481482,0.976063829787234,0.9338422391857506,0.9544863459037711,0.9830635410463249
SVM,0.9407407407407408,0.9584415584415584,0.9389312977099237,0.9485861182519281,0.973742623572086
NaiveBayes,0.6622222222222223,0.9661016949152542,0.4351145038167939,0.6,0.9217467020374281
LogisticRegression,0.9185185185185185,0.9424083769633508,0.916030534351145,0.9290322580645162,0.9759984119249996
