model,accuracy,precision,recall,f1,auc
DecisionTree,0.953125,0.9592760180995475,0.9464285714285714,0.952808988764045,0.9384566326530611
KNN,0.9397321428571429,0.966824644549763,0.9107142857142857,0.9379310344827586,0.9773397640306122
SVM,0.9464285714285714,0.9504504504504504,0.9419642857142857,0.9461883408071748,0.9847935267857143
NaiveBayes,0.7991071428571429,0.9652777777777778,0.6205357142857143,0.7554347826086957,0.9519989636479592
LogisticRegression,0.9441964285714286,0.9502262443438914,0.9375,0.9438202247191011,0.9842354910714286
